ID,country2,colldate,year_date
SRR14519841,AUS,1999,1999
SRR14519741,AUS,1999,1999
SRR14519826,AUS,1999,1999
SRR14519825,AUS,1999,1999
SRR14519821,AUS,1999,1999
SRR14519823,AUS,1999,1999
SRR14519935,AUS,1999,1999
SRR14520027,AUS,1999,1999
SRR14519705,AUS,1999,1999
SRR14519891,AUS,1999,1999
SRR14519890,AUS,1999,1999
SRR14519888,AUS,1999,1999
SRR14519933,AUS,1999,1999
SRR14519706,AUS,1999,1999
SRR14519999,AUS,2000,2000
SRR14519932,AUS,2000,2000
SRR14519928,AUS,2000,2000
SRR14520030,AUS,2000,2000
SRR14520028,AUS,2000,2000
SRR14519924,AUS,2000,2000
SRR14519917,AUS,2000,2000
SRR14519922,AUS,2000,2000
SRR14519958,AUS,2000,2000
SRR14520031,AUS,2000,2000
SRR14520032,AUS,2000,2000
SRR14519915,AUS,2000,2000
SRR14519962,AUS,2001,2001
SRR14520033,AUS,2001,2001
SRR14520034,AUS,2001,2001
SRR14519965,AUS,2001,2001
SRR14519972,AUS,2002,2002
SRR14519710,AUS,2002,2002
SRR14519709,AUS,2002,2002
SRR14519711,AUS,2002,2002
SRR14519905,AUS,2002,2002
SRR14519712,AUS,2002,2002
SRR14519713,AUS,2002,2002
SRR14519714,AUS,2002,2002
SRR14519715,AUS,2003,2003
SRR14519716,AUS,2003,2003
SRR14519983,AUS,2003,2003
SRR14519717,AUS,2003,2003
SRR14519718,AUS,2003,2003
SRR14520000,AUS,2003,2003
SRR14519720,AUS,2003,2003
SRR14519721,AUS,2003,2003
SRR14520001,AUS,2003,2003
SRR14519901,AUS,2003,2003
SRR14519857,AUS,2004,2004
SRR14519988,AUS,2004,2004
SRR14519724,AUS,2004,2004
SRR14519725,AUS,2004,2004
SRR14519989,AUS,2004,2004
SRR14519726,AUS,2005,2005
SRR14519727,AUS,2005,2005
SRR14519990,AUS,2005,2005
SRR14520006,AUS,2005,2005
SRR14519728,AUS,2005,2005
SRR14519729,AUS,2005,2005
SRR14519731,AUS,2005,2005
SRR14519852,AUS,2005,2005
SRR14519851,AUS,2005,2005
SRR14519850,AUS,2005,2005
SRR14519991,AUS,2005,2005
SRR14519732,AUS,2006,2006
SRR14519992,AUS,2006,2006
SRR14520003,AUS,2006,2006
SRR14520004,AUS,2006,2006
SRR14519941,AUS,2006,2006
SRR14519733,AUS,2006,2006
SRR14519849,AUS,2006,2006
SRR14520002,AUS,2006,2006
SRR14519734,AUS,2006,2006
SRR14519848,AUS,2006,2006
SRR14519847,AUS,2006,2006
SRR14519845,AUS,2006,2006
SRR14519844,AUS,2006,2006
SRR14519843,AUS,2006,2006
SRR14519842,AUS,2007,2007
SRR14519995,AUS,2007,2007
SRR14520098,AUS,2010,2010
SRR14520036,AUS,2010,2010
SRR14520074,AUS,2010,2010
SRR14520075,AUS,2010,2010
SRR14520037,AUS,2010,2010
SRR14520039,AUS,2010,2010
SRR14520038,AUS,2010,2010
SRR14520076,AUS,2010,2010
SRR14520053,AUS,2010,2010
SRR14520040,AUS,2010,2010
SRR14520055,AUS,2010,2010
SRR14519884,AUS,2010,2010
SRR14520094,AUS,2011,2011
SRR14520078,AUS,2011,2011
SRR14520080,AUS,2011,2011
SRR14520082,AUS,2011,2011
SRR14520084,AUS,2011,2011
SRR14520083,AUS,2011,2011
SRR14520089,AUS,2011,2011
SRR14520090,AUS,2011,2011
SRR14520092,AUS,2011,2011
SRR14520102,AUS,2011,2011
SRR14520100,AUS,2011,2011
SRR14520101,AUS,2011,2011
SRR14520103,AUS,2012,2012
SRR14520105,AUS,2012,2012
SRR14520108,AUS,2012,2012
SRR14520109,AUS,2012,2012
SRR14520110,AUS,2012,2012
SRR14520111,AUS,2012,2012
SRR14520112,AUS,2012,2012
SRR14520113,AUS,2012,2012
SRR14520114,AUS,2012,2012
SRR14520115,AUS,2012,2012
SRR14520116,AUS,2012,2012
SRR14520117,AUS,2012,2012
SRR14520119,AUS,2013,2013
SRR14520120,AUS,2013,2013
SRR14520121,AUS,2013,2013
SRR14520122,AUS,2013,2013
SRR14520123,AUS,2013,2013
SRR14520135,AUS,2013,2013
SRR14520128,AUS,2013,2013
SRR14520125,AUS,2013,2013
SRR14520126,AUS,2013,2013
SRR14520127,AUS,2013,2013
SRR14520130,AUS,2013,2013
SRR14520131,AUS,2013,2013
SRR14520133,AUS,2013,2013
SRR14520134,AUS,2013,2013
SRR14520136,AUS,2013,2013
SRR14520142,AUS,2013,2013
SRR14520143,AUS,2013,2013
SRR14520138,AUS,2013,2013
SRR14520139,AUS,2013,2013
SRR14520141,AUS,2013,2013
SRR14520147,AUS,2013,2013
SRR14519944,AUS,2013,2013
SRR14519645,AUS,2013,2013
SRR14519649,AUS,2013,2013
SRR14519650,AUS,2014,2014
SRR14519651,AUS,2014,2014
SRR14519652,AUS,2014,2014
SRR14519656,AUS,2014,2014
SRR14519877,AUS,2014,2014
SRR14519876,AUS,2014,2014
SRR14519875,AUS,2014,2014
SRR14519874,AUS,2014,2014
SRR14519873,AUS,2014,2014
SRR14519661,AUS,2014,2014
SRR14519871,AUS,2014,2014
SRR14519663,AUS,2015,2015
SRR14519869,AUS,2015,2015
SRR14519868,AUS,2015,2015
SRR14519867,AUS,2015,2015
SRR14519666,AUS,2015,2015
SRR14519865,AUS,2015,2015
SRR14519863,AUS,2015,2015
SRR14519668,AUS,2015,2015
SRR14519667,AUS,2015,2015
SRR14519669,AUS,2015,2015
SRR14519670,AUS,2015,2015
SRR14519672,AUS,2015,2015
SRR14519675,AUS,2016,2016
SRR14519676,AUS,2016,2016
SRR14519677,AUS,2016,2016
SRR14519678,AUS,2016,2016
SRR14519679,AUS,2016,2016
SRR14519940,AUS,2016,2016
SRR14519680,AUS,2016,2016
SRR14519683,AUS,2016,2016
SRR14519682,AUS,2016,2016
SRR14519687,AUS,2016,2016
SRR14519811,AUS,2017,2017
SRR14519813,AUS,2017,2017
SRR14519761,AUS,2017,2017
SRR14519760,AUS,2017,2017
SRR14519759,AUS,2017,2017
SRR14519803,AUS,2017,2017
SRR14519814,AUS,2017,2017
SRR14519808,AUS,2017,2017
SRR14519816,AUS,2017,2017
SRR14519809,AUS,2017,2017
SRR14519804,AUS,2017,2017
SRR14520063,AUS,2017,2017
SRR14520057,AUS,2017,2017
SRR14520058,AUS,2018,2018
SRR14520065,AUS,2018,2018
SRR14520059,AUS,2018,2018
SRR14520060,AUS,2018,2018
SRR14520061,AUS,2018,2018
SRR14520062,AUS,2018,2018
SRR14520064,AUS,2018,2018
SRR14520068,AUS,2018,2018
SRR14520071,AUS,2018,2018
SRR14520072,AUS,2019,2019
SRR14520073,AUS,2019,2019
SRR14520097,AUS,2019,2019
SRR14520095,AUS,2019,2019
SRR14520118,AUS,2019,2019
SRR14519689,AUS,2019,2019
SRR14519688,AUS,2019,2019
SRR14519707,AUS,2019,2019
SRR14519747,AUS,2019,2019
SRR14519736,AUS,2019,2019
SRR14519737,AUS,2019,2019
SRR14519832,AUS,2019,2019
SRR14519829,AUS,2019,2019
SRR14519819,AUS,2020,2020
SRR14519749,AUS,2020,2020
SRR14519751,AUS,2020,2020
SRR14519817,AUS,2020,2020
SRR14519818,AUS,2020,2020
SRR14519756,AUS,2020,2020
SRR14519757,AUS,2020,2020
SRR14519758,AUS,2020,2020
SRR14519805,AUS,2020,2020
SRR6785148,AZE,2012-2013,2012
SRR6785149,AZE,2012-2013,2012
SRR6785151,AZE,2012-2013,2012
SRR6785153,AZE,2012-2013,2012
SRR6785154,AZE,2012-2013,2012
SRR6785157,AZE,2012-2013,2012
SRR6785158,AZE,2012-2013,2012
SRR6785161,AZE,2012-2013,2012
SRR6785162,AZE,2012-2013,2012
SRR6785163,AZE,2012-2013,2012
SRR6785164,AZE,2012-2013,2012
SRR6785169,AZE,2012-2013,2012
SRR6785172,AZE,2012-2013,2012
SRR6785173,AZE,2012-2013,2012
SRR6785175,AZE,2012-2013,2012
SRR6785176,AZE,2012-2013,2012
SRR6785177,AZE,2012-2013,2012
SRR6785180,AZE,2012-2013,2012
SRR6785181,AZE,2012-2013,2012
SRR6785182,AZE,2012-2013,2012
SRR6785183,AZE,2012-2013,2012
SRR6785184,AZE,2012-2013,2012
SRR6785185,AZE,2012-2013,2012
SRR6785186,AZE,2012-2013,2012
SRR6785187,AZE,2012-2013,2012
SRR6785188,AZE,2012-2013,2012
SRR6785190,AZE,2012-2013,2012
SRR6785191,AZE,2012-2013,2012
